"Ticker
","Name
","Fund Type
","Inception Date
","Fund Industry Focus
","Domicile
",Active ETF,"Fund Bmk Primary
","ETF Underl. Idx Ticker
",Index Description,First available pricing date,The date from which Bloomberg holds pricing history
CHPX US Equity,GLO X AI SEMICON & QUANT ETF,ETF,10/1/2025,Thematic,United States,N,GXCHPXUN,GXCHPXUN,"The objective of the Global X AI Semiconductor & Quantum Index is to track the performance of companies that are involved in the artificial intelligence (AI) semiconductor and quantum computing ecosystems. This includes firms designing and manufacturing semiconductors, building AI-focused hardware systems, operating and supplying infrastructure for data centers, and advancing quantum computing.",31/05/2022,31/05/2022
TCAI US Equity,TORTOISE AI INFRASTRUCTR ETF,ETF,8/5/2025,Thematic,United States,Y,SPXT,N.A.,"S&P 500 Total Return Index. Calculated intraday by S&P based on the price changes and reinvested dividends of SPX <INDEX> with a starting date of Jan 4, 1988.",11/09/1989,11/09/1989
DECO US Equity,SA ST GXY DIG AST EC ETF-AUI,ETF,9/9/2024,Thematic,United States,Y,MXWD,N.A.,"The MSCI ACWI Index is a free-float weighted equity index. It was developed with a base value of 100 as of December 31 1987. MXWD includes both emerging and developed world markets. For developed markets only, please see MXWO.",31/12/1987,31/12/1987
HECO US Equity,SS GLX HD DG AST ECO ETF-USD,ETF,9/9/2024,Thematic,United States,Y,MXWD,N.A.,"The MSCI ACWI Index is a free-float weighted equity index. It was developed with a base value of 100 as of December 31 1987. MXWD includes both emerging and developed world markets. For developed markets only, please see MXWO.",31/12/1987,31/12/1987
TRFK US Equity,PACER DATA AND DIGITAL REV,ETF,6/8/2022,Thematic,United States,N,TRFKTR,TRFKTR,Pacer Data Transmission and Communication Revolution Index (TR),22/04/2022,22/04/2022
WTAI US Equity,WISDOMTREE AI AND INNOVATION,ETF,12/9/2021,Thematic,United States,N,WAIIN,WAIIN,WisdomTree Artificial Intelligence & Innovation Net Total Return Index,04/11/2021,31/10/2021
IBAT US Equity,ISHARES ENERGY STRG MATS ETF,ETF,3/21/2024,Thematic,United States,N,STXERGMV,STXERGMV,"The STOXX Global Energy Storage and Materials Index selects the key players in this area, companies involved in the prevalent but rapidly evolving energy storage systems such as stationary and heavy-duty batteries, and those working on the viability of emerging technologies, such as the use of hydrogen fuel and fuel cells as alternative energy storage and solutions.",20/06/2016,20/06/2016
ARTY US Equity,ISHARES FUTURE AI & TECH ETF,ETF,6/28/2018,Thematic,United States,N,MSGAISNU,MSGAISNU,"Morningstar Global Artificial Intelligence Select Index is designed to deliver unparalleled, thematically pure exposure to companies involved with artificial intelligence (AI) technologies by drawing on the in-depth knowledge and forward-looking insights of Morningstar's equity research team. It targets stocks with exposure to generative AI, AI data & infrastructure, AI software, and AI services.",17/12/2021,17/12/2021
IPOS US Equity,RENAISSANCE INTL IPO ETF,ETF,10/7/2014,Thematic,United States,N,IPOXUS,IPOXUS,"The Renaissance International IPO Index reflects the largest, most liquid, non-US newly public companies. Sizable IPOs are added at the end of their fifth trading day with the remainder added during scheduled quarterly reviews. The index is weighted by float capitalization and constituents are capped at 10%. Companies are removed two years after their initial trade date.",18/03/2011,18/03/2011
AIPO US Equity,DEFIANCE AI & POWER INFR ETF,ETF,7/25/2025,Thematic,United States,N,MVAIPOTR,N.A.,"The MarketVector US Listed AI and Power Index is a thematic index tracking the performance of companies contributing to critical electrical grid and artificial intelligence infrastructure through nuclear and other decentralized energy technologies, electric equipment and related engineering and construction services, electrical utilities, data center operations, and AI related computing hardware.",31/12/2018,31/12/2018
MEME US Equity,ROUNDHILL MEME STOCK ETF,ETF,10/8/2025,Thematic,United States,Y,N.A.,N.A.,#N/A Invalid Security,#N/A Invalid Security,#N/A Mandatory parameter [FIELD] cannot be empty
DTCR US Equity,GLOBAL X DATA CENTER & DIGIT,ETF,10/29/2020,Thematic,United States,N,SOLVPN,SOLVPN,Representation of securities from the Data Center REITs & Digital Infrastructure sector.,12/10/2020,12/10/2020
VOLT US Equity,TEMA ELECTRIFICATION,ETF,12/4/2024,Thematic,United States,Y,SPXT,N.A.,"S&P 500 Total Return Index. Calculated intraday by S&P based on the price changes and reinvested dividends of SPX <INDEX> with a starting date of Jan 4, 1988.",11/09/1989,11/09/1989
NXTG US Equity,FIRST TRUST INDXX NEXTG ETF,ETF,2/18/2011,Thematic,United States,N,INXTG,INXTG,The Indxx 5G & NextG Thematic Index is designed to track the performance of companies that are at the core of the research and development of the new 5G cellular technology and next generation technologies as they emerge.The index seeks to include only companies that have devoted material resource or made material commitments to the use of 5G technologyThe index has been discontinued from 08/10/24,15/12/2017,15/12/2017
FPXI US Equity,FIRST TRUST INTERNATIONAL EQ,ETF,11/5/2014,Thematic,United States,N,IPXUIPXT,IPXUIPXT,#N/A Field Not Applicable,25/07/2014,25/07/2014
WELD US Equity,TEMA U.S. MANUFACTURING & RE,ETF,5/10/2023,Thematic,United States,Y,SPXT,N.A.,"S&P 500 Total Return Index. Calculated intraday by S&P based on the price changes and reinvested dividends of SPX <INDEX> with a starting date of Jan 4, 1988.",11/09/1989,11/09/1989
UFOX US Equity,DEFIANCE CONNECTIVE TECH ETF,ETF,3/4/2019,Thematic,United States,N,BCNCTNTR,BCNCTNTR,"The BlueStar Connective Technologies Index is a thematic index tracking the performance of US-listed companies offering hardware, software, or services to the rollout of 5G, 6G networks, or other connective technologies, or are involved in satellite communications and space industry.",30/12/2016,30/12/2016
ARKG US Equity,ARK GENOMIC REVOLUTION ETF,ETF,10/31/2014,Thematic,United States,Y,SPX,N.A.,The S&P 500® is widely regarded as the best single gauge of large-cap U.S. equities and serves as the foundation for a wide range of investment products. The index includes 500 leading companies and captures approximately 80% coverage of available market capitalization.,30/12/1927,30/12/1927
IQM US Equity,FRANKLIN INTELLIGENT MACHINE,ETF,2/27/2020,Thematic,United States,Y,RAY,N.A.,"The Russell 3000 Index is composed of 3000 large U.S. companies, as determined by market capitalization. This portfolio of Securities represents approximately 98% of the investable U.S. equity market. The Russell 3000 Index is comprised of stocks within the Russell 1000 and the Russell 2000 Indices. The index was developed with a base value of 140.00 as of December 31, 1986.",29/12/1978,29/12/1978
THNQ US Equity,ROBO GLOBAL ARTIFICIAL INTEL,ETF,5/7/2020,Thematic,United States,N,THNQ,THNQ,ROBO Global Artificial Intelligence Index,31/12/2013,31/12/2013
SNSR US Equity,GLOBAL X INTERNET OF THINGS,ETF,9/12/2016,Thematic,United States,N,ISNSRNT,ISNSRNT,#N/A Field Not Applicable,30/06/2010,30/06/2010
